Starting training...

Epoch 1/700
[16/21] Loss: 3.6053 | Step: 0.03s | ETA: 0s | 76.2%
[17/21] Loss: 3.3868 | Step: 0.03s | ETA: 0s | 81.0%
[18/21] Loss: 3.6456 | Step: 0.03s | ETA: 0s | 85.7%
[19/21] Loss: 3.4773 | Step: 0.03s | ETA: 0s | 90.5%
[20/21] Loss: 3.8596 | Step: 0.02s | ETA: 0s | 95.2%
[21/21] Loss: 3.5996 | Step: 0.03s | ETA: 0s | 100.0%
Epoch 4 completed in 1.8s - Avg loss: 3.6042

Epoch 5/700
[1/21] Loss: 3.6789 | Step: 0.03s | ETA: 1s | 4.8%
[2/21] Loss: 3.6883 | Step: 0.03s | ETA: 1s | 9.5%
[3/21] Loss: 3.6849 | Step: 0.03s | ETA: 0s | 14.3%
[4/21] Loss: 3.8257 | Step: 0.03s | ETA: 1s | 19.0%
[5/21] Loss: 3.5754 | Step: 0.03s | ETA: 0s | 23.8%
[6/21] Loss: 3.4651 | Step: 0.03s | ETA: 0s | 28.6%
[7/21] Loss: 3.4798 | Step: 0.03s | ETA: 0s | 33.3%
[8/21] Loss: 3.4953 | Step: 0.03s | ETA: 0s | 38.1%
[9/21] Loss: 3.5369 | Step: 0.03s | ETA: 0s | 42.9%
[10/21] Loss: 3.4982 | Step: 0.03s | ETA: 0s | 47.6%
[11/21] Loss: 3.4650 | Step: 0.03s | ETA: 0s | 52.4%
[12/21] Loss: 3.5370 | Step: 0.03s | ETA: 0s | 57.1%
[13/21] Loss: 3.6716 | Step: 0.03s | ETA: 0s | 61.9%
[14/21] Loss: 3.3449 | Step: 0.03s | ETA: 0s | 66.7%
[15/21] Loss: 3.4308 | Step: 0.03s | ETA: 0s | 71.4%
[16/21] Loss: 3.5333 | Step: 0.03s | ETA: 0s | 76.2%
[17/21] Loss: 3.6709 | Step: 0.03s | ETA: 0s | 81.0%
[18/21] Loss: 3.3278 | Step: 0.03s | ETA: 0s | 85.7%
[19/21] Loss: 3.3617 | Step: 0.03s | ETA: 0s | 90.5%
[20/21] Loss: 3.7429 | Step: 0.03s | ETA: 0s | 95.2%
[21/21] Loss: 3.6746 | Step: 0.03s | ETA: 0s | 100.0%
